undetermined read_count	1492309
mapped read_count	13422618
overall read_count	14914927.0

undetermined yield	450677318
mapped yield	4053630636
overall yield	4504307954

undetermined_proportion	0.1001
mapped_proportion	0.8999

sample_name	number_of_reads	yield	fraction_of_all_reads
KGKY-RWB-162-ZTB-2023-MSMT-1	97307	29386714	0.0065
KGKY-RWB-241-ALR-2023-MSMT-1	94464	28528128	0.0063
-KGKY-RWB-195-AAD-2023-MSMT-1	89240	26950480	0.006
KGKA-BKG-105-DLR-2023-MSMT-1	88682	26781964	0.0059
KGKY-RWB-250-KBR-2023-MSMT-1	86484	26118168	0.0058
KGKY-RWB-243-AAA-2023-MSMT-1	81692	24670984	0.0055
KGKY-RWB-242-TJL-2023-MSMT-1	77326	23352452	0.0052
KGBR-BUT260-EKW-2023-MSMT-1	77707	23467514	0.0052
KGKY-RUG-053-RLK-2023-MSMT-1	72371	21856042	0.0049
KGKY-RWB-237-MJB-2023-MSMT-1	72047	21758194	0.0048
KGKY-RWB-267-BFD-2023-MSMT-1	69701	21049702	0.0047
KGNG-CVU027-BBL-2023-MSMT-1	67865	20495230	0.0046
KGKY-RWB-246-AAK-2023-MSMT-1	68754	20763708	0.0046
KGKY-RWB-235-PZJ-2023-MSMT-1	69161	20886622	0.0046
KGKY-RWB-263-DKK-2023-MSMT-1	66885	20199270	0.0045
KGKY-RWB-262-JTA-2023-MSMT-1	67669	20436038	0.0045
KGKA-RWB145-ATF-2023-MSMT-1	66420	20058840	0.0045
KGKA-BKG-125-SRN-2023-MSMT-1	66397	20051894	0.0045
KGKY-RWB-233-ARK-2023-MSMT-1	65798	19870996	0.0044
KGBR-BUT240-ERA-2023-MSMT-1	65211	19693722	0.0044
KGNG-CVU081-JNV-2023-MSMT-1	64552	19494704	0.0043
KGNG-CVU022-DNJ-2023-MSMT-1	63641	19219582	0.0043
KGBR-BUT314-SFI-2023-MSMT-1	63473	19168846	0.0043
KGBR-BUT264-KKF-2023-MSMT-1	64332	19428264	0.0043
KGBR-BUT220-FKS-2023-MSMT-1	64129	19366958	0.0043
KGBR-BUT058-DKJ-2023-MSMT-1	64128	19366656	0.0043
KGKY-RWB-268-HSA-2023-MSMT-1	62177	18777454	0.0042
KGKY-RWB-146-ATF-2023-MSMT-1	62751	18950802	0.0042
KGBR-BUT161-JMA-2023-MSMT-1	63063	19045026	0.0042
KGBR-BUT128-JJN-2023-MSMT-1	62546	18888892	0.0042
